Dish Home,"Used but looks new. working perfectly. Dish home receiver, Box and original remote.","Golphutar, Budhanilkantha, Kathmandu, Bagmati Pradesh, 44622, Nepal",HB-C72525,1500,Used,232
Dish Home 3 Tv Full Set For Sell,Dish Home Set used for 3 tv is for sale. Hamle arkai rakheko le bechnu lageko. In very good condition.,"Kathmandu, Kathmandu",HB-3011900,6000,Like New,766
Dish home antenna + setup box very cheap,ramro condition ma xa...sasto ma di rachu,"All Core Kathmandu, Kathmandu",HB-D315E0,999,Like New,0
Dish Home HD,I need a urgent Money that why call this number 9803302350 or 9849162655. It will need help for Tom..,Mitrapark (Chabahil),HB-5915BB,1440,Like New,477
Dish Home second Hand including setup box,Including wire / Assemble by your self,"Araniko Highway, सृजनानगर, Suryabinayak-05, Suryabinayak, सूर्यविनायक नगरपालिका, भक्तपुर, बाग्मती प्रदेश, 44800, नेपाल",HB-DCFC67,3500,Like New,7
Dish home set for 2 TV all complete for sale,"My dish home tv antenna (umbrella) connection cables and two setup boxes.
2 yrs used.
Working perfectly,,, bill payed till asar 80

Plz grab it!
This is extra items for me.
9841375835
Sitapaila...","Kathmandu City, Kathmandu",HB-4627C1,4000,Used,14
Dish Home Set with 15 meters cable,Mt View Residency - in front of National Cancer Hospital,"Harisiddhi, Lalitpur",HB-7A6B39,2000,Brand New,102
Dish home setup box on sale,Kosailai chaye ma samparkha garnu hola yesko satelite recevier pani dinchu .,"Kathmandu City, Kathmandu",HB-7E142D,2000,Like New,22
"Dishhome (new Connection, Accesories Rechaarge From Dealer Dai)","सामानहरु stock छन् कृपया फोन गर्नुहोला (9851097143,9841329388, 9802240354) हामी डिसहोमको subdealer ho दक्ष technician द्वारा हामी तपाईंको घरमा डिसहोम जडान गरिदिन्छौँ, recharge र अन्य accessariesko लागि पनि हामीहरुलाई सम्झिनुहोला. Dishhome -New connectio -Accessaries -Recharge - More Suppliers विगत लामो समयदेखि शैक्षिक सामग्री, office equipmen,t sports metrial, electronics लगायत थुप्रै सामानहरु अनलाइन माध्यमबाट / direct from store पनि बिक्री वितरण गर्दै आएको कुरा यहाँहरुलाई जानकारी गराउन पाउँदा खुसी लागेको छ . आदरणीय ग्राहक महानुभावहरु, १.हाम्रो उदेश्य ग्राहक महानुभावहरुलाई न्यून मूल्यमा गुणस्तरीय सामान उपलब्ध गराउनु हो । २.कतिपय सामानहरुमा १ बर्ष सम्मको कम्पनी बारेन्टी पाउनुहुनेछ । ३.आधिकारिक विक्रेता मार्फत सामान किन्दा क्वालिटी सहि पाउन सकिन्छ । ४.सामान किन्नु पर्दा वा अर्डर गर्दा स्टकका लागि फोन गर्दा तपाइको समयको बचत हुनेछ । Price and stock may vary so please confirm it before you order. # viber/whatsapp: 9851097143 Google map address for Mitrata Suppliers https://www.google.com/maps/place/Mitrata+Books+And+Stationery/@27.718465,85.3522943,17z/data=!3m1!4b1!4m5!3m4!1s0x39eb1962ac54d771:0x2394c3f05ddae5b6!8m2!3d27.718465!4d85.354483","Hyatt Hotel काे गेटबाट अलिकति पुर्बबाट दक्षि, चाबहिल, लक्ष्मीटाेल, Kathmandu",HB-2168127,3999,Brand New,1126
Dishhome Setupbox With Remote,Dish Home Set-up Box with Remote and Power Cables + AV Cables,"Rampur, Sharadanagar Town, Chitwan",HB-2948662,2000,Used,750
